window_start,site,Ions,Concentration
1994-07-22,BQ2,mg_mgl,1.9333333333333331
1994-07-22,BQ2,ca_mgl,3.913333333333333
1994-07-22,BQ2,nh4n_mgl,NA
1994-07-22,BQ2,no3n_mgl,NA
1994-09-23,BQ2,k_mgl,1.2125
1994-09-23,BQ2,mg_mgl,2.125
1994-09-23,BQ2,ca_mgl,4.5125
1994-09-23,BQ2,nh4n_mgl,NA
1994-09-23,BQ2,no3n_mgl,NA
1994-11-25,BQ2,k_mgl,1.292
1994-11-25,BQ2,mg_mgl,2.744
1994-11-25,BQ2,ca_mgl,5.898
1994-11-25,BQ2,nh4n_mgl,NA
1994-11-25,BQ2,no3n_mgl,NA
1988-01-01,BQ3,k_mgl,0.728
1988-01-01,BQ3,mg_mgl,2.556
1988-01-01,BQ3,ca_mgl,3.3953333333333333
1988-01-01,BQ3,nh4n_mgl,33.1764705882353
1988-01-01,BQ3,no3n_mgl,165.4375
1988-03-04,BQ3,k_mgl,0.5555555555555556
1988-03-04,BQ3,mg_mgl,2.6144444444444446
1988-03-04,BQ3,ca_mgl,3.4766666666666666
1988-03-04,BQ3,nh4n_mgl,26.333333333333332
1988-03-04,BQ3,no3n_mgl,205.22222222222223
1988-05-06,BQ3,k_mgl,0.688
1988-05-06,BQ3,mg_mgl,2.339
1988-05-06,BQ3,ca_mgl,2.613
1988-05-06,BQ3,nh4n_mgl,59.57142857142857
1988-05-06,BQ3,no3n_mgl,196
1988-07-08,BQ3,k_mgl,0.6328571428571429
1988-07-08,BQ3,mg_mgl,2.2592857142857143
1988-07-08,BQ3,ca_mgl,2.710714285714286
1988-07-08,BQ3,nh4n_mgl,28.6
1988-07-08,BQ3,no3n_mgl,134.66666666666666
1988-09-09,BQ3,k_mgl,0.6275
1988-09-09,BQ3,mg_mgl,2.48875
1988-09-09,BQ3,ca_mgl,3.33125
1988-09-09,BQ3,nh4n_mgl,41.75
1988-09-09,BQ3,no3n_mgl,168.25
1988-11-11,BQ3,k_mgl,0.7366666666666667
1988-11-11,BQ3,mg_mgl,2.66
1988-11-11,BQ3,ca_mgl,3.815
1988-11-11,BQ3,nh4n_mgl,NA
1988-11-11,BQ3,no3n_mgl,191.33333333333334
1989-01-13,BQ3,k_mgl,0.7688888888888888
1989-01-13,BQ3,mg_mgl,2.8033333333333332
1989-01-13,BQ3,ca_mgl,3.801111111111111
1989-01-13,BQ3,nh4n_mgl,NA
1989-01-13,BQ3,no3n_mgl,163.66666666666666
1989-03-17,BQ3,k_mgl,0.7344444444444445
1989-03-17,BQ3,mg_mgl,2.7355555555555555
1989-03-17,BQ3,ca_mgl,3.9033333333333333
1989-03-17,BQ3,nh4n_mgl,NA
1989-03-17,BQ3,no3n_mgl,164.66666666666666
1989-05-19,BQ3,k_mgl,0.7511111111111111
1989-05-19,BQ3,mg_mgl,2.8066666666666666
1989-05-19,BQ3,ca_mgl,3.7533333333333334
1989-05-19,BQ3,nh4n_mgl,NA
1989-05-19,BQ3,no3n_mgl,92.22222222222223
1989-07-21,BQ3,k_mgl,0.8
1989-07-21,BQ3,mg_mgl,2.41
1989-07-21,BQ3,ca_mgl,3.65125
1989-07-21,BQ3,nh4n_mgl,NA
1989-07-21,BQ3,no3n_mgl,155.875
1989-09-22,BQ3,k_mgl,1.426153846153846
1989-09-22,BQ3,mg_mgl,3.2675
1989-09-22,BQ3,ca_mgl,3.5933333333333333
1989-09-22,BQ3,nh4n_mgl,NA
1989-09-22,BQ3,no3n_mgl,444.625
1989-11-24,BQ3,k_mgl,1.268888888888889
1989-11-24,BQ3,mg_mgl,3.5666666666666664
1989-11-24,BQ3,ca_mgl,5.1433333333333335
1989-11-24,BQ3,nh4n_mgl,NA
1989-11-24,BQ3,no3n_mgl,218.625
1990-01-26,BQ3,k_mgl,1.4522222222222223
1990-01-26,BQ3,mg_mgl,3.3755555555555556
1990-01-26,BQ3,ca_mgl,4.81
1990-01-26,BQ3,nh4n_mgl,NA
1990-01-26,BQ3,no3n_mgl,381.77777777777777
1990-03-30,BQ3,k_mgl,1.3478571428571429
1990-03-30,BQ3,mg_mgl,2.6742857142857144
1990-03-30,BQ3,ca_mgl,3.6885714285714286
1990-03-30,BQ3,nh4n_mgl,NA
1990-03-30,BQ3,no3n_mgl,352.3076923076923
1990-06-01,BQ3,k_mgl,1.1855555555555555
1990-06-01,BQ3,mg_mgl,3.3677777777777775
1990-06-01,BQ3,ca_mgl,4.614444444444445
1990-06-01,BQ3,nh4n_mgl,NA
1990-06-01,BQ3,no3n_mgl,224.25
1990-08-03,BQ3,k_mgl,0.9944444444444445
1990-08-03,BQ3,mg_mgl,3.4522222222222223
1990-08-03,BQ3,ca_mgl,5.593333333333334
1990-08-03,BQ3,nh4n_mgl,NA
1990-08-03,BQ3,no3n_mgl,151.77777777777777
1990-10-05,BQ3,k_mgl,0.9339999999999999
1990-10-05,BQ3,mg_mgl,2.934
1990-10-05,BQ3,ca_mgl,5.102
1990-10-05,BQ3,nh4n_mgl,NA
1990-10-05,BQ3,no3n_mgl,155.11111111111111
1990-12-07,BQ3,k_mgl,0.9460000000000001
1990-12-07,BQ3,mg_mgl,3.08
1990-12-07,BQ3,ca_mgl,4.6770000000000005
1990-12-07,BQ3,nh4n_mgl,NA
1990-12-07,BQ3,no3n_mgl,170.625
1991-02-08,BQ3,k_mgl,0.7733333333333333
1991-02-08,BQ3,mg_mgl,3.8455555555555554
1991-02-08,BQ3,ca_mgl,4.828888888888889
1991-02-08,BQ3,nh4n_mgl,NA
1991-02-08,BQ3,no3n_mgl,160.22222222222223
1991-04-12,BQ3,k_mgl,0.897
1991-04-12,BQ3,mg_mgl,3.23
1991-04-12,BQ3,ca_mgl,4.237
1991-04-12,BQ3,nh4n_mgl,NA
1991-04-12,BQ3,no3n_mgl,51.75
1991-06-14,BQ3,k_mgl,0.8588888888888889
1991-06-14,BQ3,mg_mgl,3.535555555555556
1991-06-14,BQ3,ca_mgl,4.447777777777778
1991-06-14,BQ3,nh4n_mgl,NA
1991-06-14,BQ3,no3n_mgl,118.625
1991-08-16,BQ3,k_mgl,1.05
1991-08-16,BQ3,mg_mgl,3.249
1991-08-16,BQ3,ca_mgl,4.675
1991-08-16,BQ3,nh4n_mgl,NA
1991-08-16,BQ3,no3n_mgl,114.8
1991-10-18,BQ3,k_mgl,0.8883333333333333
1991-10-18,BQ3,mg_mgl,2.788333333333333
1991-10-18,BQ3,ca_mgl,3.7416666666666667
1991-10-18,BQ3,nh4n_mgl,NA
1991-10-18,BQ3,no3n_mgl,161.16666666666666
1991-12-20,BQ3,k_mgl,1.0050000000000001
1991-12-20,BQ3,mg_mgl,3.129
1991-12-20,BQ3,ca_mgl,4.877
1991-12-20,BQ3,nh4n_mgl,NA
1991-12-20,BQ3,no3n_mgl,185.3
1992-02-21,BQ3,k_mgl,1.12
1992-02-21,BQ3,mg_mgl,3.3511111111111114
1992-02-21,BQ3,ca_mgl,6.21
1992-02-21,BQ3,nh4n_mgl,NA
1992-02-21,BQ3,no3n_mgl,127.375
1992-04-24,BQ3,k_mgl,0.9355555555555556
1992-04-24,BQ3,mg_mgl,2.73
1992-04-24,BQ3,ca_mgl,4.054444444444444
1992-04-24,BQ3,nh4n_mgl,NA
1992-04-24,BQ3,no3n_mgl,115
1992-06-26,BQ3,k_mgl,1.1411111111111112
1992-06-26,BQ3,mg_mgl,3.263333333333333
1992-06-26,BQ3,ca_mgl,4.682222222222222
1992-06-26,BQ3,nh4n_mgl,NA
1992-06-26,BQ3,no3n_mgl,44.888888888888886
